unique_id,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
pj_b9c0fe264fb6191d,Social media manager,Social Media Manager,360SWEATER,NOT_FOUND,NOT_FOUND,['360SWEATER'],/web/20190708121400/https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Co4g8madY8VfCZBAA3DSRI8rEN2rZvm3T8HeyU3_xQubDSmQIyCH0kdugPNpJ6WqCjQMYYRW38yDYT6TWnsUtNcfUQSEEDwIctXt5qOdeBf6J30vyrresCPx_cxiTYT29A043hUJ0MRfXsC3qMOaJ9JnT_bATts7wTZR90R3s8YnCKkbRAY9LvpZrd6o6fHUleHY7qqF0MNjmGN0ELCyySBBzL2NSRGKJgIctniqW73Q1AUkveeF4H2ioIXaPmp8ENCCTVe5q2F-mKXQn8foZ5j2SINoNmtmq7dzoPYOr6sWFjuNNLBaFhNWlKm6JomaYcBQBGf_ZhLXlE3_V0T5vxdzsyAakAlAf8zaqnrXw_FwtWiUrgtb3Xojo_95MbU933cidxxnXr15W_VEUGvz7Dek6gxxzHQp7u33QVdA3bmDEkB7r5Vd4t&p=0&fvj=1&vjs=3,NOT_FOUND,NOT_FOUND
pj_1b5c54a6b7341e61,Social media manager,Social Media Community Manager,A Shoc Beverage,NOT_FOUND,NOT_FOUND,['A Shoc Beverage'],/web/20190708121400/https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpooN6KDWi3rMhhOPOWmzLQTE08EM8Vz_J9RNqmY6hCDx4g63wfhgrYFhxJBIJhoaOgDXmMC42hgqgivla5K6wVRnDMSBZuAOOTlyPjwm7s4OIZ3JR45CrmQgw69oS9orSo3xwP3cXFryUL0VS24UFd5t0NSakufENb6A1AeyZkyylRsoTqP3FQfEiYt3LxlOtm4oM-prmwmcmWuXY8haCcfNdKUYkwNw3yM3FB_rzfpJbXHRbOfl3SqSKLicKk2PUiFAs8e8D_3rkoMiYuDKA7Q9WtVCW6vz_VTWDf6c7fWm5qZ64ZFUqECnu5PzjCxiqPWtfOTVYRzoGN7v40pVvEu4mC1mVxdNIcj1fFuTXyPqnpFeZUMUcdEyqFcDAY8h7kAPXS5c33Yaxlb8XDzwmszyL0xpWmkq43lpBmv2JAP89aP2TCqcbK2wMK8PdwNg=&p=1&fvj=1&vjs=3,NOT_FOUND,NOT_FOUND
pj_557f226535d37d66,Social media manager,Social Media Manager - (FT),Advanced Plastic Surgery Solutions,NOT_FOUND,NOT_FOUND,['Advanced Plastic Surgery Solutions'],/web/20190708121400/https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B95EbQHLkXYZf9nhbR8TFwNOF4rYg2MG4_26IzpBa8Haii7b1EK0lIholBxMQg9HYXtJmDTLv1ZF8Ew9egTJ26hYTMahapASJD_RUKYSmMF7SZPjIm9OpcLz0H4WR_R78lmyqwkhzq_d33AHagtcOC16MnbHsXC-Wi9u3g_Z1W8Luzp5Sh2ypDUpmdoEGLj1e6EvdOqw_cSiE1STLDwfN8DbMTU5yEd5qq_WKt3yqV2Dr4Zp_y8ODQHsWTvWpWuvkrM0Y3vewk0TCWn5JBIszxh5esqKJbcyj3jvrVdjdfvQwxRTS-nAYfq_vUiia0aF1pR5YaH66IWQqL_rmc80cHby6LdKTR74kV7J2JyFqvDUYWyWYyod6b-NW6e8x6PSqaaP9-ULr1zSXc_DbW4eVLq15yOqtX-4Y00JhALcH0AX_ySkgqsIc0&p=2&fvj=1&vjs=3,NOT_FOUND,NOT_FOUND
pj_88f7ec126a72b559,Social media manager,Social Engagement Manager,Margaritaville Resort and Spa and Margaritaville Island Inn,NOT_FOUND,NOT_FOUND,['Margaritaville Resort and Spa and Margaritaville Island Inn'],/web/20190708121400/https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BuW3nyWkbDjYjo-b3lmB1zoPWYX5pe2sgqoYmMdM5Ote52U3bJWsiNA8Y9uoqTZ7Ti2Sxsqzc_iymqwW5QqSTSbf-Ce220Z68htYiSBEmbB0ruO_VTZNBGG4gBoticN8MekMJe-6w5wA3Yt_cGK10xKaUaieve7JTFp-2FXZNKSJMzJkyBo8QFQ27PsacY5Sx1_npuuhYh1lTwPqq1mZq97fGuGLTQEs_dtYBfdXEpkyq9_FM1Ths9sj4PKI1E3YINQXVd-OLD1pmU4tNZtHodnnefnFS8_EdecxV7pW-gMLjYnKkkS0tS-x8ZlGtbCRuFeLpmnBIa_eMIGEo_uO540JnzA8Vvmyfapf_b-AdRKLbC-9ijUGYVsDBTAjYe5yoM0WRtrqqbUKmSyjW1FTAiy-rROaW0KKOzoxtg2l-vrivsl-0L7rYTk-HE1hLLXlE=&p=3&fvj=1&vjs=3,NOT_FOUND,NOT_FOUND
pj_c9872f45c191dcea,Social media manager,Social Media Manager,AMResorts,NOT_FOUND,NOT_FOUND,['AMResorts\n\n\n26 reviews'],/web/20190708121400/https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AF6oMyJVgv2gL06BuYyE4IPEhVj2lSdZ0oTMplPMMQrTA-Q1dCd5FdfnVe92VtHMnSCmborMJIRKaRSE05ZhaOfZn-dQF813rbID73SCDgF_WFKQ6t43kTZ1hh1p1Z31yNWOXYm2woQw-5wIPfCLCwzl3GhCaXOQ_81lIpZnHD3PGFJ8JtC3xCu8qaBUnKAkehmgdrs3USVvkK4lvESPzs-YcKndnAnZgekX1VuGe7AO5PBZDTrlgrJVKTfjOj5DCtLRscwpIFq-DEUPYpVXKizOO8OQcuY2dseN-xm8foYtOgk-OIDdtDE_wc2eDyyVG3qkeXp3jnZivTFu2FwU1zQ3kF4fHciluMl4bRbA3OXXTkqNzEvGya7DBCKaDV3fcpzYD9ffPU4YgyF4T0bkWsGdmqyFBhggqv-3WVoyTxLIFQdQUlBMTgG6k2TMRXVdJ4Ugp1orYCi6JhFGitKuc9W4--tLBLpf5RP9Xzh0mDUkQ-YbEp8vDj3RdiVeFlq3vPaSua3zZ5rqigco26mxkBVeoKqWe7ijWoB783wG2vDRtg63NnNzkPVzMo8uej4JuICVXcdS1MvcE9zY6oBTv26UKfwy_CD-YFRjXUORl-JlwlXmn7Et4QQ-wcAjLxrQXdU_Hll9rpSnRiDBQTHpYZWXYU401megebktn8-0avM7bieBlK86RySMp-PjofvzSudMJyXYa61Q==&p=4&fvj=0&vjs=3,NOT_FOUND,NOT_FOUND
pj_945a9f6c0fb0438e,Social media manager,Social Media and Account Manager,Legal Drinking Age(ncy),NOT_FOUND,NOT_FOUND,['Legal Drinking Age(ncy)'],/web/20190708121400/https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Db4E9hKgHRNY3k5DQNQhp5DYsgvCxBjTZL4DL7PjBU4o_facuXnI822Mkao_NiudyBwTvmx4YutDYhXS-Tljj5wfPSzI5r2fkyhxNaHsvvYi0-RRN-dbCaBzqc2YFV49jzqmBmu1BJk7zR-ZTx_baCkSy2Vf6djF5iRFttboWw9k81R4LsfsC-lp9Fxd8jaUL1-eJOrpSwwZQi2fS7Gm8d1K6ges6O2g9UQxamUdj79TzR3M7LUxiNnlQAtTkgS5z3rZeq6cB05maCVauQzfYZ0aBus5bcBcNBP9qrsSRM3VD_K2EucZwmzvpl4V_Ph2aOlEUMOVL7mmBhs_7dLsdHaPO4ASP9biAWsys-ZjbP-FRq1Vp2StOEPNvgm1FKoTKHcheguVA6ZBuSIG1gWMF0vUFY7B2s7k7lCfa1rmYAx-zI3oQP4wZvvvr7LVbxbfU=&p=5&fvj=1&vjs=3,1 day ago,NOT_FOUND
p_9fdcf100815d4a9a,Social media manager,Manager. Social and Digital Storytelling,The Coca-Cola Company,"Atlanta, GA 30301 (Buckhead area)",NOT_FOUND,"['The Coca-Cola Company\n\n\n8,669 reviews']",/web/20190708121400/https://www.indeed.com/rc/clk?jk=9fdcf100815d4a9a&fccid=2e853071bb3920b6&vjs=3,30+ days ago,NOT_FOUND
p_f5b54753f12bad3a,Social media manager,Social Media Manager (Instagram),Tastemade,"Santa Monica, CA 90404",NOT_FOUND,['Tastemade\n\n\n7 reviews'],/web/20190708121400/https://www.indeed.com/rc/clk?jk=f5b54753f12bad3a&fccid=2a9c236a35bd1e0d&vjs=3,2 hours ago,NOT_FOUND
p_a2bcb11dc43491a6,Social media manager,Paid Social Manager,Sony Pictures Entertainment Inc.,"Culver City, CA 90232",NOT_FOUND,['Sony Pictures Entertainment Inc.\n\n\n354 reviews'],/web/20190708121400/https://www.indeed.com/rc/clk?jk=a2bcb11dc43491a6&fccid=87296c430fc584e1&vjs=3,30+ days ago,NOT_FOUND
p_84bf2d49565f1587,Social media manager,Social Media Manager,Google,"San Francisco, CA 94105 (Financial District area)",NOT_FOUND,"['Google\n\n\n3,028 reviews']",/web/20190708121400/https://www.indeed.com/rc/clk?jk=84bf2d49565f1587&fccid=a5b4499d9e91a5c6&vjs=3,30+ days ago,NOT_FOUND
